交通局     | 1391227  | 45242
兵役局     | 175658   | 14031
勞工局     | 7516064  | 8611
地政局     | 1176905  | 68251
工務局     | 7429978  | 226594
市政府     | 13541598 | 598674
市議會     | 855411   | 91825
捷運工程局 | 2960011  | 1261104
教育局     | 41534864 | 22436
文化局     | 1997545  | 28213
新聞局     | 202375   | 4970
民政局     | 1524718  | 41658
水利局     | 5244822  | 692724
法制局     | 70884    | 7825
海洋局     | 672930   | 44168
消防局     | 2009171  | 12291
環境保護局 | 4335397  | 147267
社會局     | 15138802 | 413017
經濟發展局 | 623749   | 72379
衛生局     | 2003706  | 31472
觀光局     | 601957   | 22672
警察局     | 9886792  | 80959
財政局     | 2812757  | 275011
農業局     | 2123668  | 30294
都市發展局 | 550748   | 68193
